-0.010096171,0.014935255,0.755523300,0.009655026,-0.013431703,-0.691014544,0.722651555,-0.022809172,0.128014933,0.068349759,0.312891074,-0.309395389,-0.123316640,-0.018682158,-0.102712073,-0.002985809,0.307422172,-0.323776466,0.137909599,-0.020295537,-0.022691106,0.132352914,-0.026105160,0.321902645,-0.625314749,1.001316947,-0.010911552,0.040224865,0.044376295,-0.162829253,-0.398046439,0.934696507,1.036805564,0.173731959,-0.037877851,-0.108114286
-0.011321870,0.013739955,0.754865952,0.010845586,-0.012100326,-0.689895356,0.723726712,-0.029016594,0.129773984,0.064105909,0.319241350,-0.313834529,-0.125623223,-0.026452709,-0.101339447,-0.005952426,0.321491743,-0.334036925,0.133168762,-0.024748582,-0.022066390,0.130092805,-0.026666161,0.322856765,-0.626623223,0.998311699,-0.011613897,0.039380614,0.044396556,-0.162365807,-0.399279793,0.933789023,1.035238904,0.171881753,-0.034778932,-0.108946716
-0.012754415,0.012241184,0.754422836,0.010925530,-0.011538127,-0.688212822,0.725334830,-0.031328590,0.132253127,0.058881457,0.323484629,-0.317441217,-0.129084492,-0.028170265,-0.099027964,-0.010266066,0.330554819,-0.341224784,0.128986454,-0.026411258,-0.022154635,0.132355253,-0.029426330,0.324464859,-0.629798657,0.995854066,-0.014529014,0.038838850,0.046620444,-0.160085343,-0.400113031,0.930371843,1.032997029,0.173432478,-0.033483276,-0.111053859
-0.014398789,0.010394692,0.754169846,0.011271775,-0.010124173,-0.685928527,0.727511171,-0.033981604,0.135323487,0.051773409,0.324043065,-0.318380780,-0.132651505,-0.026077064,-0.095809368,-0.017170037,0.329605307,-0.344917203,0.123659021,-0.030441305,-0.020312594,0.131991457,-0.029998203,0.325251025,-0.630502461,0.994641394,-0.012324741,0.038271973,0.044247535,-0.158244989,-0.400187522,0.928874438,1.031581113,0.175719103,-0.031146491,-0.105510290
-0.016197456,0.008309767,0.754013672,0.012439959,-0.008347586,-0.683830852,0.729486758,-0.037029719,0.138057122,0.045922971,0.322570269,-0.317979529,-0.135935208,-0.023385810,-0.093158589,-0.023940262,0.324064567,-0.347661960,0.120457764,-0.029948562,-0.019805825,0.131989739,-0.031396402,0.325865852,-0.630559656,0.992917742,-0.014013021,0.038920193,0.045689151,-0.157691353,-0.400044544,0.930672040,1.029412227,0.174981824,-0.029488505,-0.102597149
-0.018262990,0.006065671,0.753661346,0.013901271,-0.006841630,-0.682311396,0.730897466,-0.037926057,0.140724205,0.041973762,0.318118824,-0.317203765,-0.141901482,-0.024252853,-0.090723838,-0.028996761,0.326186766,-0.355463459,0.114608546,-0.028141204,-0.019305331,0.132903803,-0.030326223,0.326297018,-0.627938293,0.988721516,-0.012662277,0.038300451,0.044660820,-0.160249535,-0.399870936,0.932555599,1.023875519,0.169417042,-0.024551534,-0.099203183
-0.020427547,0.003638000,0.753102188,0.015782279,-0.005780113,-0.680827347,0.732251073,-0.037876437,0.142166754,0.038211809,0.312819760,-0.316790175,-0.147957495,-0.027655109,-0.089703164,-0.033848169,0.334754849,-0.367964380,0.107575629,-0.027097856,-0.019053543,0.135254104,-0.027268298,0.327299308,-0.625123706,0.981563345,-0.023660027,0.036659390,0.050212538,-0.168165790,-0.400164413,0.936847800,1.015175646,0.168653016,-0.023813044,-0.097380070
-0.023045042,0.000927412,0.752274704,0.017690039,-0.004461605,-0.679614099,0.733342916,-0.040783866,0.145070319,0.034553095,0.313752202,-0.318728886,-0.153499072,-0.034075232,-0.087712942,-0.038413178,0.349679979,-0.385392907,0.097962825,-0.022413518,-0.019315095,0.139538222,-0.023864112,0.329759926,-0.624792617,0.973501373,-0.022662118,0.036802117,0.052193958,-0.181266964,-0.401422569,0.942498391,1.002750194,0.166408260,-0.024219428,-0.097786504
-0.026136403,-0.002084316,0.751214218,0.018812456,-0.003179164,-0.678763633,0.734108926,-0.046002324,0.150609907,0.030721390,0.323829210,-0.324605009,-0.160416074,-0.038494762,-0.083452866,-0.042437393,0.363575680,-0.403359588,0.088834665,-0.015576549,-0.018604590,0.146152842,-0.019293784,0.333521599,-0.624887772,0.967913876,-0.029298324,0.035401107,0.054921693,-0.201371865,-0.403001725,0.950878938,0.985995312,0.153740870,-0.025966358,-0.100475254
-0.029741263,-0.005298661,0.749812393,0.018802925,0.000606088,-0.677398572,0.735375589,-0.069947967,0.162522529,0.020076161,0.366343807,-0.341455203,-0.163956527,-0.040198895,-0.072034264,-0.047976658,0.367189402,-0.417189943,0.082127576,-0.006149367,-0.013555874,0.152206778,-0.016521148,0.337192986,-0.627505661,0.968486431,-0.032931289,0.032893241,0.060480566,-0.229449117,-0.404225149,0.961185911,0.965312008,0.149456218,-0.025778815,-0.110589271
-0.033461921,-0.008908384,0.748272400,0.016374519,0.005931150,-0.674550752,0.738023021,-0.109878399,0.179481562,-0.001069302,0.440788139,-0.363350149,-0.166525529,-0.032417765,-0.053696486,-0.058237516,0.356365481,-0.425327227,0.074953322,0.001208787,-0.001511223,0.160239447,-0.011973416,0.339897723,-0.627800814,0.971048138,-0.038107110,0.028438517,0.078056561,-0.263772133,-0.405007807,0.961039373,0.938829534,0.133508692,-0.027392185,-0.112519654
-0.037339501,-0.012588170,0.746490936,0.013241962,0.011962695,-0.670532396,0.741665592,-0.168332329,0.196625093,-0.028719445,0.548353304,-0.379337068,-0.175568918,-0.021254173,-0.032868208,-0.071303507,0.338787886,-0.430104542,0.067794374,0.010795586,0.012738923,0.170052979,-0.006543708,0.341896282,-0.611669713,0.972083031,-0.035911504,0.022244832,0.079481805,-0.303801434,-0.406124084,0.955690462,0.905094676,0.132616333,-0.029031142,-0.123779824
